Fecha,Gas licuado,Regular,Superior,Diesel
ene-01,194065.74,177776.5,373963.96,566101.99
feb-01,170703.38,123115.99,243091.07,489525.8
mar-01,161837.37,161726.42,312084.38,575559.68
abr-01,163048.64,127338.74,285054.89,437745.42
may-01,171518.86,168730.19,300913.67,552609.13
jun-01,190004.42,152899.09,333217.19,497855.26
jul-01,206022.83,136299.13,195071.86,302350.02
ago-01,100561.47,139365.07,268153.26,464159.13
sep-01,186839.02,233643.75,308439.07,321952.94
oct-01,163864.2,141550.22,305102.28,438989.55
nov-01,194722.5,165841.46,256638.19,440245.35
dic-01,194329.02,149217.67,277145.05,479983.27
ene-02,168422.62,178585.93,271479,500041.32
feb-02,200141.36,144447.25,365657.75,686923.83
mar-02,193422.6,104673.64,246292.6,432538.46
abr-02,218257.51,190339,310256.3,424667.36
may-02,159299.42,194830.1,363311.76,497781.66
jun-02,210874.61,137050.8,250123.19,496826.62
jul-02,199708.55,222408,428842.8,636727.84
ago-02,192213.74,143795,298280.33,346225
sep-02,190686.73,156956.9,331053.7,638933.22
oct-02,210871.19,195426.8,352055.5,703749.81
nov-02,227595.86,153185.7,291188.76,573289.5
dic-02,192272.02,167596.71,440677.81,678749.64
ene-03,237532.26,228269.5,425185.5,797344.38
feb-03,169819,214490.7,443849.85,765912.66
mar-03,221030.86,161257.48,363352.66,693942.31
abr-03,192170.14,189824.89,335444.69,873103.1
may-03,185016.67,269981.86,459025.69,625190.08
jun-03,231805.03,182254.23,372486.53,671882.83
jul-03,216504.93,133668.2,400922.97,822014.55
ago-03,209952.38,169903.86,292365.04,494087.13
sep-03,231499.19,177217.53,398192.16,614913.68
oct-03,216302.81,181668.03,260219.92,433084.99
nov-03,232526.98,205624.08,393951.96,627189.78
dic-03,214489.86,161477.73,296780.15,745524.88
ene-04,251271.55,173427.23,368235.14,762385.45
feb-04,197730.29,147939.23,281891.97,460947.5
mar-04,253366.12,275539.38,486880.82,772128.26
abr-04,206671.88,245156.34,415426,809194.95
may-04,202368.21,178387.8,350052.95,634209.64
jun-04,231850.33,133341,311238.01,461381.79
jul-04,220449.26,152075.75,249710.69,467154.31
ago-04,215881.07,208592.85,434578.12,669462.53
sep-04,252058.26,218499.24,420550.29,714039.85
oct-04,208715.48,201907.67,366886.3,655715.05
nov-04,195645.45,215838.32,434710.94,726697.88
dic-04,278688.52,227094.71,433149.96,781266.61
ene-05,226452.5,202374.33,257867.99,663058.79
feb-05,179212.81,178104.72,306660.39,683664.39
